;user;task;system;success;issues_functional;issues_content;issues_comprehensibity;issues_presentation;task_minutes;task_seconds;issuesComment_functional;issuesComment_content;issuesComment_comprehensibility;issuesComment_presentation;easyToGetStarted;easyToDoTheTask;satisfactionPerTask;timePerTask;familiarWithTopic;whyRelevant;issues;feedbackB1[SQ001];feedbackB1[SQ002];feedbackB1[SQ003];feedbackB1[SQ004];feedbackB1[SQ005];feedbackB1[SQ006];feedbackB1[SQ007];feedbackB1[SQ008];feedbackB1[SQ009];feedbackB1[SQ010];feedbackB2[SQ001];feedbackB2[SQ002];feedbackB2[SQ003];feedbackB2[SQ004];feedbackB2[SQ005];feedbackB2[SQ006];feedbackB2[SQ007];feedbackB2[SQ008];feedbackB2[SQ009];feedbackB2[SQ010];searchExperience[SQ001];searchExperience[SQ002];searchExperience[SQ003];like;dislike;education[SQ001];education[SQ002];education[SQ003];education[SQ004];education[SQ005];education[SQ006];education[SQ007];education[SQ008];researchBackground[SQ001];researchBackground[SQ002];researchBackground[SQ003];researchBackground[SQ004];researchBackground[SQ005];searchUsage;exit_easyToLearn;exit_easyToUse;bestOverall;total_issues;SUS_Biodiv1;SUS_Biodiv2;task_full_time
21;3;6;1;2;;;;;2;42;;;;;5;5;5;5;4;it contains my search terms;null;4;2;5;3;3;3;2;4;5;2;4;2;4;2;3;4;3;4;4;2;4;2;4;"BIODIV1: more category for classification of search terms. Have a better feeling that it will provide relevant datasets.
BIODIV2: simple, easy to use.";"BIODIV1: The Quality and The Materials are not very necessary.
BIODIV 2: the result is broader and somehow make more difficult to select the relevant datasets.";No;No;No;Yes;No;No;No;No;No;No;Yes;Yes;No;2;Biodiv 2;Biodiv 1;Biodiv 1;0.0;72.5;70.0;162
22;3;7;2;1;;;;;2;36;;;;;5;5;4;4;3;the description contains the content I am looking for;null;4;2;5;3;3;3;2;4;5;2;4;2;4;2;3;4;3;4;4;2;4;2;4;"BIODIV1: more category for classification of search terms. Have a better feeling that it will provide relevant datasets.
BIODIV2: simple, easy to use.";"BIODIV1: The Quality and The Materials are not very necessary.
BIODIV 2: the result is broader and somehow make more difficult to select the relevant datasets.";No;No;No;Yes;No;No;No;No;No;No;Yes;Yes;No;2;Biodiv 2;Biodiv 1;Biodiv 1;0.0;72.5;70.0;156
23;3;8;2;2;;;;;1;1;;;;;4;4;4;4;3;the description contains my search terms;null;4;2;5;3;3;3;2;4;5;2;4;2;4;2;3;4;3;4;4;2;4;2;4;"BIODIV1: more category for classification of search terms. Have a better feeling that it will provide relevant datasets.
BIODIV2: simple, easy to use.";"BIODIV1: The Quality and The Materials are not very necessary.
BIODIV 2: the result is broader and somehow make more difficult to select the relevant datasets.";No;No;No;Yes;No;No;No;No;No;No;Yes;Yes;No;2;Biodiv 2;Biodiv 1;Biodiv 1;0.0;72.5;70.0;61
24;4;1;2;2;1;;;;4;50;;;;;4;3;2;3;1;Many datasets for single cores. Only one overview dataset.;null;4;3;3;2;3;4;3;2;4;1;4;3;3;2;2;5;3;3;4;2;4;3;3;"Pre-categories in #1
#2 is more like convnetional searches";None;No;No;No;No;Yes;No;No;No;No;No;Yes;Yes;No;3;Biodiv 2;Biodiv 1;Biodiv 2;1.0;62.5;67.5;290
25;4;2;1;0;1;;;;5;0;;;;;1;1;1;3;2;"Nothing found ""see water"", ""oxigen concentration""";null;4;3;3;2;3;4;3;2;4;1;4;3;3;2;2;5;3;3;4;2;4;3;3;"Pre-categories in #1
#2 is more like convnetional searches";None;No;No;No;No;Yes;No;No;No;No;No;Yes;Yes;No;3;Biodiv 2;Biodiv 1;Biodiv 2;1.0;62.5;67.5;300
26;4;3;1;1;;;;;5;0;;1.0;;;1;2;1;2;2;???;invasive is missleading;4;3;3;2;3;4;3;2;4;1;4;3;3;2;2;5;3;3;4;2;4;3;3;"Pre-categories in #1
#2 is more like convnetional searches";None;No;No;No;No;Yes;No;No;No;No;No;Yes;Yes;No;3;Biodiv 2;Biodiv 1;Biodiv 2;0.0;62.5;67.5;300
27;4;4;2;1;;;;1;5;0;;;;;2;2;3;1;1;Element concentrations;null;4;3;3;2;3;4;3;2;4;1;4;3;3;2;2;5;3;3;4;2;4;3;3;"Pre-categories in #1
#2 is more like convnetional searches";None;No;No;No;No;Yes;No;No;No;No;No;Yes;Yes;No;3;Biodiv 2;Biodiv 1;Biodiv 2;1.0;62.5;67.5;300
28;4;5;1;2;1;;;;5;0;;;;;3;3;3;3;2;Carbonate system is buffering ocean acidification. Reduction of carbonate affcts growth of algae and corals;null;4;3;3;2;3;4;3;2;4;1;4;3;3;2;2;5;3;3;4;2;4;3;3;"Pre-categories in #1
#2 is more like convnetional searches";None;No;No;No;No;Yes;No;No;No;No;No;Yes;Yes;No;3;Biodiv 2;Biodiv 1;Biodiv 2;1.0;62.5;67.5;300
29;4;6;1;1;1;;;;3;30;;;;;2;3;1;3;1;Effect of agricultural pollution;null;4;3;3;2;3;4;3;2;4;1;4;3;3;2;2;5;3;3;4;2;4;3;3;"Pre-categories in #1
#2 is more like convnetional searches";None;No;No;No;No;Yes;No;No;No;No;No;Yes;Yes;No;3;Biodiv 2;Biodiv 1;Biodiv 2;1.0;62.5;67.5;210
30;4;7;2;1;;;;;3;0;;1.0;;;4;4;2;3;3;Single species herbivore.;Surpriveg by low number of results. And non matching results.;4;3;3;2;3;4;3;2;4;1;4;3;3;2;2;5;3;3;4;2;4;3;3;"Pre-categories in #1
#2 is more like convnetional searches";None;No;No;No;No;Yes;No;No;No;No;No;Yes;Yes;No;3;Biodiv 2;Biodiv 1;Biodiv 2;0.0;62.5;67.5;180
31;4;8;2;1;;;;;4;50;;;;;4;3;2;3;3;Water chemistry. One global one regional study;null;4;3;3;2;3;4;3;2;4;1;4;3;3;2;2;5;3;3;4;2;4;3;3;"Pre-categories in #1
#2 is more like convnetional searches";None;No;No;No;No;Yes;No;No;No;No;No;Yes;Yes;No;3;Biodiv 2;Biodiv 1;Biodiv 2;0.0;62.5;67.5;290
32;5;1;1;2;;;;;2;50;;;1.0;;4;4;4;1;1;ich erinnere mich nciht mehr welche das konkret waren. jedenfalls waren die Suchbegriffe enthalten;hintergrundwissen würde helfen besser zu verstehen was tatsächlich gesucht wird, und die Ergebnisse zu evaluieren. manchmal schwierig zu entscheiden, welchn begriff für welch Kategorie benutzte werdn kann, und wlcher nicht. Vielleicht eine Info, wieviele Datensätz je Begriff überhaupt gefunden werden?;4;4;5;2;1;5;1;3;4;2;4;4;5;3;1;5;1;3;4;2;3;1;4;"1: - die kategorien zu benutzen, um sicherzustellen, dass die richtigen Bgriffe in den richtigen Berichen gefunden werden -> gab mir Sicherheit, dass die Suchergebnisse schon passen

2: infach draufloszusuchen. 

Je nach Suchanfrage ist 1/2 besser,";"1: - Problem: einen Begriff nicht zu wissen wo einzurordenen.
2: nach der Anzeige der Suchergebnisse fehlt ein genaueres Filtern der Ergebnisse, dass musste ich selbst machen, was bei 1 über die Kategorien zum Teil fkt.";No;No;No;No;Yes;No;No;No;No;No;No;No;No;2;no difference;no difference;Biodiv 1;0.0;77.5;75.0;170
33;5;2;2;2;;;;;4;55;;1.0;;;5;2;1;1;1;because they contain data about measurement of oxygen in sea water;habe nicht die daten gefunden, die ausreichend wären um die Frage zu beantwortetn;4;4;5;2;1;5;1;3;4;2;4;4;5;3;1;5;1;3;4;2;3;1;4;"1: - die kategorien zu benutzen, um sicherzustellen, dass die richtigen Bgriffe in den richtigen Berichen gefunden werden -> gab mir Sicherheit, dass die Suchergebnisse schon passen

2: infach draufloszusuchen. 

Je nach Suchanfrage ist 1/2 besser,";"1: - Problem: einen Begriff nicht zu wissen wo einzurordenen.
2: nach der Anzeige der Suchergebnisse fehlt ein genaueres Filtern der Ergebnisse, dass musste ich selbst machen, was bei 1 über die Kategorien zum Teil fkt.";No;No;No;No;Yes;No;No;No;No;No;No;No;No;2;no difference;no difference;Biodiv 1;0.0;77.5;75.0;295
34;5;3;1;0;1;;;;5;0;;1.0;;;4;1;1;1;1;nichts efunden,;"invasion als Stichwort ""Prozess"" schien überhaupt nicht zu funktionieren";4;4;5;2;1;5;1;3;4;2;4;4;5;3;1;5;1;3;4;2;3;1;4;"1: - die kategorien zu benutzen, um sicherzustellen, dass die richtigen Bgriffe in den richtigen Berichen gefunden werden -> gab mir Sicherheit, dass die Suchergebnisse schon passen

2: infach draufloszusuchen. 

Je nach Suchanfrage ist 1/2 besser,";"1: - Problem: einen Begriff nicht zu wissen wo einzurordenen.
2: nach der Anzeige der Suchergebnisse fehlt ein genaueres Filtern der Ergebnisse, dass musste ich selbst machen, was bei 1 über die Kategorien zum Teil fkt.";No;No;No;No;Yes;No;No;No;No;No;No;No;No;2;no difference;no difference;Biodiv 1;1.0;77.5;75.0;300
35;5;4;2;1;;;;;5;0;;;1.0;;3;1;1;1;1;it somehow included data on sulfate reduction in the ocean;very difficult search for me;4;4;5;2;1;5;1;3;4;2;4;4;5;3;1;5;1;3;4;2;3;1;4;"1: - die kategorien zu benutzen, um sicherzustellen, dass die richtigen Bgriffe in den richtigen Berichen gefunden werden -> gab mir Sicherheit, dass die Suchergebnisse schon passen

2: infach draufloszusuchen. 

Je nach Suchanfrage ist 1/2 besser,";"1: - Problem: einen Begriff nicht zu wissen wo einzurordenen.
2: nach der Anzeige der Suchergebnisse fehlt ein genaueres Filtern der Ergebnisse, dass musste ich selbst machen, was bei 1 über die Kategorien zum Teil fkt.";No;No;No;No;Yes;No;No;No;No;No;No;No;No;2;no difference;no difference;Biodiv 1;0.0;77.5;75.0;300
36;5;5;1;2;;;;;1;40;;;;;4;5;3;3;1;incldue data on these themes;null;4;4;5;2;1;5;1;3;4;2;4;4;5;3;1;5;1;3;4;2;3;1;4;"1: - die kategorien zu benutzen, um sicherzustellen, dass die richtigen Bgriffe in den richtigen Berichen gefunden werden -> gab mir Sicherheit, dass die Suchergebnisse schon passen

2: infach draufloszusuchen. 

Je nach Suchanfrage ist 1/2 besser,";"1: - Problem: einen Begriff nicht zu wissen wo einzurordenen.
2: nach der Anzeige der Suchergebnisse fehlt ein genaueres Filtern der Ergebnisse, dass musste ich selbst machen, was bei 1 über die Kategorien zum Teil fkt.";No;No;No;No;Yes;No;No;No;No;No;No;No;No;2;no difference;no difference;Biodiv 1;0.0;77.5;75.0;100
37;5;6;2;2;;;;;4;40;;;1.0;;5;3;4;4;1;suchbegriffe enthalten und m.E. nach relvant zur Frage - Vorkommen /Sampling;confusing weil so viel Datnsätz bei der ersten Suche angezeigt wurden, hatte andere Datensätze erwartet;4;4;5;2;1;5;1;3;4;2;4;4;5;3;1;5;1;3;4;2;3;1;4;"1: - die kategorien zu benutzen, um sicherzustellen, dass die richtigen Bgriffe in den richtigen Berichen gefunden werden -> gab mir Sicherheit, dass die Suchergebnisse schon passen

2: infach draufloszusuchen. 

Je nach Suchanfrage ist 1/2 besser,";"1: - Problem: einen Begriff nicht zu wissen wo einzurordenen.
2: nach der Anzeige der Suchergebnisse fehlt ein genaueres Filtern der Ergebnisse, dass musste ich selbst machen, was bei 1 über die Kategorien zum Teil fkt.";No;No;No;No;Yes;No;No;No;No;No;No;No;No;2;no difference;no difference;Biodiv 1;0.0;77.5;75.0;280
38;5;7;2;1;;;;;5;0;;;;;5;2;1;2;1;alle Suchbegriffe drin, relevant;null;4;4;5;2;1;5;1;3;4;2;4;4;5;3;1;5;1;3;4;2;3;1;4;"1: - die kategorien zu benutzen, um sicherzustellen, dass die richtigen Bgriffe in den richtigen Berichen gefunden werden -> gab mir Sicherheit, dass die Suchergebnisse schon passen

2: infach draufloszusuchen. 

Je nach Suchanfrage ist 1/2 besser,";"1: - Problem: einen Begriff nicht zu wissen wo einzurordenen.
2: nach der Anzeige der Suchergebnisse fehlt ein genaueres Filtern der Ergebnisse, dass musste ich selbst machen, was bei 1 über die Kategorien zum Teil fkt.";No;No;No;No;Yes;No;No;No;No;No;No;No;No;2;no difference;no difference;Biodiv 1;0.0;77.5;75.0;300
39;5;8;1;2;1;;;;4;20;;;;;3;3;3;2;1;beinhalttn Suchbegriffe und titel klangen angemessen;null;4;4;5;2;1;5;1;3;4;2;4;4;5;3;1;5;1;3;4;2;3;1;4;"1: - die kategorien zu benutzen, um sicherzustellen, dass die richtigen Bgriffe in den richtigen Berichen gefunden werden -> gab mir Sicherheit, dass die Suchergebnisse schon passen

2: infach draufloszusuchen. 

Je nach Suchanfrage ist 1/2 besser,";"1: - Problem: einen Begriff nicht zu wissen wo einzurordenen.
2: nach der Anzeige der Suchergebnisse fehlt ein genaueres Filtern der Ergebnisse, dass musste ich selbst machen, was bei 1 über die Kategorien zum Teil fkt.";No;No;No;No;Yes;No;No;No;No;No;No;No;No;2;no difference;no difference;Biodiv 1;1.0;77.5;75.0;260
40;6;1;1;2;1;;;;3;40;1.0;;;;5;5;5;5;1;Mentions benthic Foraminifera;Biological entity highlighting didn't work reliably.;5;4;5;1;1;5;2;2;5;1;5;3;5;1;1;4;3;2;4;1;1;5;3;"- Nice to look at (especially the loading circle thingie) also in regards to the structure, so you don't have to really search for any information (e.g. where does the dataset come from)
- boths searches are really intuitive (AND/OR semantic is well known, categories are easy to understand)
";"- Category search in Biodiv1 requies an additional step, because you have to choose the category.
- Biodiv2 doesn't provide a list of suggested terms when adding additional terms, which is also the case for Biodiv1, but because you don't have subsets of the overall search term as in Biodiv1 the issue is more prominent";No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;2;no difference;Biodiv 2;Biodiv 2;1.0;82.5;77.5;220
41;6;2;2;2;;;;1;4;45;;;;1.0;4;3;2;4;1;Two listed oxygen in their parameters. Another one mentioned oxygen measurment in its title/description.;Highlighting was missing again.;5;4;5;1;1;5;2;2;5;1;5;3;5;1;1;4;3;2;4;1;1;5;3;"- Nice to look at (especially the loading circle thingie) also in regards to the structure, so you don't have to really search for any information (e.g. where does the dataset come from)
- boths searches are really intuitive (AND/OR semantic is well known, categories are easy to understand)
";"- Category search in Biodiv1 requies an additional step, because you have to choose the category.
- Biodiv2 doesn't provide a list of suggested terms when adding additional terms, which is also the case for Biodiv1, but because you don't have subsets of the overall search term as in Biodiv1 the issue is more prominent";No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;2;no difference;Biodiv 2;Biodiv 2;1.0;82.5;77.5;285
42;6;3;2;2;1;1;0;0;4;10;;1.0;;1.0;5;5;3;5;2;Genetic datasets of invasive grass species;"I hoped to get information on distribution of invasive grasses, but couldn't find any in the given time, not even after adding distribution as a search term.
After adding ""distribution"" and going to another page to avoid ENA entries, no terms were highlighted in the entry title/description.";5;4;5;1;1;5;2;2;5;1;5;3;5;1;1;4;3;2;4;1;1;5;3;"- Nice to look at (especially the loading circle thingie) also in regards to the structure, so you don't have to really search for any information (e.g. where does the dataset come from)
- boths searches are really intuitive (AND/OR semantic is well known, categories are easy to understand)
";"- Category search in Biodiv1 requies an additional step, because you have to choose the category.
- Biodiv2 doesn't provide a list of suggested terms when adding additional terms, which is also the case for Biodiv1, but because you don't have subsets of the overall search term as in Biodiv1 the issue is more prominent";No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;2;no difference;Biodiv 2;Biodiv 2;2.0;82.5;77.5;250
