index,user,task,system,success,issues_functional,issues_content,issues_comprehensibity,issues_presentation,task_minutes,task_seconds,issuesComment_functional,issuesComment_content,issuesComment_comprehensibility,issuesComment_presentation
119,15,8,2,2,,,,,3,40,,,,
120,16,1,1,2,,,,1,4,0,,,,1.0
121,16,2,1,1,,,,1,5,0,,,,1.0
122,16,3,2,2,,,,,1,45,,1.0,,
123,16,4,2,2,,,,,2,25,,,,
124,16,5,1,2,,,,,1,15,,,,
125,16,6,2,2,,,,,0,35,,,,
126,16,7,2,0,,1,,,4,0,,,,
127,16,8,1,2,,,,,2,30,,,,
128,17,1,1,2,,,,,5,0,,,,
129,17,2,1,0,,,,,5,0,,,,
130,17,3,1,0,,,,,5,0,,1.0,,
131,17,4,2,1,,,,,5,0,,,,
132,17,5,2,2,,,,,5,0,,,,
133,17,6,1,1,,,,,5,0,,,,
134,17,7,2,0,,,,,5,0,,,,
135,17,8,2,2,,,,,3,30,,,,
136,18,1,2,1,,,1,,1,50,,,,
137,18,2,2,1,,,,,2,15,,,,
138,18,3,2,2,1,,,,3,45,,,,
139,18,4,1,1,,,1,,4,50,,,,
140,18,5,1,2,1,,,,2,44,,,,
141,18,6,2,2,,,,,1,40,,1.0,,
142,18,7,1,1,,,1,2,4,35,,,,
143,18,8,1,1,,,,1,3,0,,,,
144,19,1,1,2,,,,,2,30,,,,
145,19,2,2,1,,,,,5,0,,1.0,,
146,19,3,2,2,,,,,5,0,,,,
147,19,4,2,2,1,1,1,,4,45,,1.0,,
148,19,5,1,2,,,,,4,22,,,,
149,19,6,1,2,,,,2,5,0,,,,
150,19,7,1,0,,1,,1,5,0,,,,
151,19,8,2,2,,,,,3,20,,,,
152,20,1,2,2,,,,1,2,24,,,,
153,20,2,1,2,,1,,1,3,15,,,,
154,20,3,1,2,1,1,,,2,40,,,,
155,20,4,1,2,,1,,,3,30,,,,
156,20,5,2,2,,,,1,3,0,,,,
157,20,6,2,2,,,,,1,30,,,,
158,20,7,2,1,1,1,,,3,20,,,,
159,20,8,1,2,,,,,3,25,,,,
